Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
299, 27.363597378134727, 1
300, 27.45557500422001, 1
301, 27.54755263030529, 3
302, 27.63953025639057, 4
303, 27.731507882475853, 2
304, 27.823485508561134, 3
305, 27.915463134646416, 5
306, 28.007440760731697, 4
307, 28.09941838681698, 2
308, 28.19139601290226, 1
309, 28.28337363898754, 1
310, 28.375351265072823, 4
311, 28.467328891158104, 2
312, 28.559306517243385, 2
313, 28.651284143328667, 2
314, 28.743261769413948, 4
315, 28.83523939549923, 7
316, 28.92721702158451, 1
317, 29.019194647669792, 3
318, 29.111172273755074, 7
319, 29.203149899840355, 2
320, 29.295127525925636, 1
321, 29.387105152010918, 2
322, 29.4790827780962, 4
323, 29.57106040418148, 3
324, 29.663038030266762, 2
325, 29.755015656352043, 3
326, 29.846993282437325, 3
327, 29.938970908522606, 4
328, 30.030948534607887, 4
329, 30.12292616069317, 4
330, 30.21490378677845, 3
331, 30.30688141286373, 3
332, 30.398859038949013, 3
333, 30.490836665034294, 2
334, 30.582814291119576, 2
335, 30.674791917204857, 1
336, 30.76676954329014, 2
337, 30.85874716937542, 0
338, 30.9507247954607, 4
339, 31.042702421545982, 0
340, 31.134680047631264, 7
341, 31.226657673716545, 4
342, 31.318635299801826, 5
343, 31.410612925887108, 1
344, 31.50259055197239, 6
345, 31.59456817805767, 2
346, 31.686545804142952, 3
347, 31.778523430228233, 4
348, 31.870501056313515, 2
349, 31.962478682398796, 1
350, 32.05445630848408, 7
351, 32.14643393456936, 4
352, 32.23841156065464, 4
353, 32.33038918673992, 1
354, 32.4223668128252, 5
355, 32.514344438910484, 3
356, 32.606322064995766, 1
357, 32.69829969108105, 2
358, 32.79027731716633, 2
359, 32.88225494325161, 6
360, 32.97423256933689, 3
361, 33.06621019542217, 1
362, 33.158187821507454, 5
363, 33.250165447592735, 3
364, 33.34214307367802, 5
365, 33.4341206997633, 1
366, 33.52609832584858, 2
367, 33.61807595193386, 4
368, 33.71005357801914, 2
369, 33.80203120410442, 5
370, 33.894008830189705, 2
371, 33.985986456274986, 1
372, 34.07796408236027, 6
373, 34.16994170844555, 4
374, 34.26191933453083, 2
375, 34.35389696061611, 7
376, 34.44587458670139, 3
377, 34.537852212786674, 3
378, 34.629829838871956, 2
379, 34.72180746495724, 2
380, 34.81378509104252, 5
381, 34.9057627171278, 4
382, 34.99774034321308, 2
383, 35.08971796929836, 1
384, 35.181695595383644, 0
385, 35.273673221468925, 3
386, 35.36565084755421, 2
387, 35.45762847363949, 6
388, 35.54960609972477, 3
389, 35.64158372581005, 3
390, 35.73356135189533, 2
391, 35.825538977980614, 2
392, 35.917516604065895, 2
393, 36.00949423015118, 4
394, 36.10147185623646, 1
395, 36.19344948232174, 2
396, 36.28542710840702, 2
397, 36.3774047344923, 3
398, 36.46938236057758, 4
399, 36.561359986662865, 4
400, 36.653337612748146, 5
401, 36.74531523883343, 1
402, 36.83729286491871, 3
403, 36.92927049100399, 2
404, 37.02124811708927, 5
405, 37.11322574317455, 3
406, 37.205203369259834, 1
407, 37.297180995345116, 5
408, 37.3891586214304, 3
409, 37.48113624751568, 5
410, 37.57311387360096, 5
411, 37.66509149968624, 0
412, 37.75706912577152, 1
413, 37.849046751856804, 1
414, 37.941024377942085, 1
415, 38.03300200402737, 5
416, 38.12497963011265, 2
417, 38.21695725619793, 5
418, 38.30893488228321, 2
419, 38.40091250836849, 4
420, 38.49289013445377, 5
421, 38.584867760539055, 3
422, 38.676845386624336, 7
423, 38.76882301270962, 3
424, 38.8608006387949, 3
425, 38.95277826488018, 0
426, 39.04475589096546, 3
427, 39.13673351705074, 7
428, 39.228711143136024, 3
429, 39.320688769221306, 2
430, 39.41266639530659, 5
431, 39.50464402139187, 4
432, 39.59662164747715, 5
433, 39.68859927356243, 5
434, 39.78057689964771, 0
435, 39.872554525732994, 2
436, 39.964532151818275, 4
437, 40.05650977790356, 5
438, 40.14848740398884, 6
439, 40.24046503007412, 2
440, 40.3324426561594, 2
441, 40.42442028224468, 2
442, 40.516397908329964, 5
443, 40.608375534415245, 5
444, 40.700353160500526, 1
445, 40.79233078658581, 4
446, 40.88430841267109, 4
447, 40.97628603875637, 2
448, 41.06826366484165, 1
449, 41.16024129092693, 3
450, 41.252218917012215, 3
451, 41.344196543097496, 5
452, 41.43617416918278, 2
453, 41.52815179526806, 3
454, 41.62012942135334, 10
455, 41.71210704743862, 3
456, 41.8040846735239, 1
457, 41.896062299609184, 1
458, 41.988039925694466, 6
459, 42.08001755177975, 5
460, 42.17199517786503, 5
461, 42.26397280395031, 4
462, 42.35595043003559, 3
463, 42.44792805612087, 5
464, 42.539905682206154, 3
465, 42.631883308291435, 4
466, 42.72386093437672, 1
467, 42.815838560462, 4
468, 42.90781618654728, 3
469, 42.99979381263256, 0
470, 43.09177143871784, 0
471, 43.18374906480312, 4
472, 43.275726690888405, 4
473, 43.367704316973686, 2
474, 43.45968194305897, 4
475, 43.55165956914425, 2
476, 43.64363719522953, 2
477, 43.73561482131481, 1
478, 43.82759244740009, 5
479, 43.919570073485374, 4
480, 44.011547699570656, 6
481, 44.10352532565594, 3
482, 44.19550295174122, 4
483, 44.2874805778265, 2
484, 44.37945820391178, 3
485, 44.47143582999706, 0
486, 44.563413456082344, 4
487, 44.655391082167625, 5
488, 44.74736870825291, 1
489, 44.83934633433819, 1
490, 44.93132396042347, 4
491, 45.02330158650875, 3
492, 45.11527921259403, 2
493, 45.207256838679314, 7
494, 45.299234464764595, 4
495, 45.391212090849876, 4
496, 45.48318971693516, 4
497, 45.57516734302044, 1
498, 45.66714496910572, 2
499, 45.759122595191, 2
500, 45.85110022127628, 4
501, 45.943077847361565, 3
502, 46.035055473446846, 3
503, 46.12703309953213, 4
504, 46.21901072561741, 2
505, 46.31098835170269, 3
506, 46.40296597778797, 5
507, 46.49494360387325, 4
508, 46.586921229958534, 6
509, 46.678898856043816, 2
510, 46.7708764821291, 3
511, 46.86285410821438, 0
512, 46.95483173429966, 4
513, 47.04680936038494, 1
514, 47.13878698647022, 2
515, 47.230764612555504, 1
516, 47.322742238640785, 3
517, 47.41471986472607, 4
518, 47.50669749081135, 6
519, 47.59867511689663, 4
520, 47.69065274298191, 5
521, 47.78263036906719, 2
522, 47.87460799515247, 3
523, 47.966585621237755, 1
524, 48.058563247323036, 3
525, 48.15054087340832, 0
526, 48.2425184994936, 6
527, 48.33449612557888, 1
528, 48.42647375166416, 3
529, 48.51845137774944, 3
530, 48.610429003834724, 1
531, 48.702406629920006, 4
532, 48.79438425600529, 4
533, 48.88636188209057, 1
534, 48.97833950817585, 5
535, 49.07031713426113, 4
536, 49.16229476034641, 5
537, 49.254272386431694, 5
538, 49.346250012516975, 3
539, 49.43822763860226, 2
540, 49.53020526468754, 4
541, 49.62218289077282, 7
542, 49.7141605168581, 3
543, 49.80613814294338, 3
544, 49.898115769028664, 5
545, 49.990093395113945, 4
546, 50.082071021199226, 8
547, 50.17404864728451, 8
548, 50.26602627336979, 1
549, 50.35800389945507, 6
550, 50.44998152554035, 3
551, 50.54195915162563, 5
552, 50.633936777710915, 3
553, 50.725914403796196, 3
554, 50.81789202988148, 7
555, 50.90986965596676, 2
556, 51.00184728205204, 6
557, 51.09382490813732, 1
558, 51.1858025342226, 4
559, 51.277780160307884, 6
560, 51.369757786393166, 2
561, 51.46173541247845, 4
562, 51.55371303856373, 7
563, 51.64569066464901, 1
564, 51.73766829073429, 4
565, 51.82964591681957, 4
566, 51.921623542904854, 4
567, 52.013601168990135, 1
568, 52.10557879507542, 1
569, 52.1975564211607, 0
570, 52.28953404724598, 0
571, 52.38151167333126, 4
572, 52.47348929941654, 0
573, 52.56546692550182, 6
574, 52.657444551587105, 1
575, 52.749422177672386, 2
576, 52.84139980375767, 2
577, 52.93337742984295, 8
578, 53.02535505592823, 5
579, 53.11733268201351, 4
580, 53.20931030809879, 5
581, 53.301287934184074, 4
582, 53.393265560269356, 4
583, 53.48524318635464, 1
584, 53.57722081243992, 5
585, 53.6691984385252, 4
586, 53.76117606461048, 1
587, 53.85315369069576, 5
588, 53.945131316781044, 3
589, 54.037108942866325, 2
590, 54.12908656895161, 4
591, 54.22106419503689, 3
592, 54.31304182112217, 5
593, 54.40501944720745, 1
594, 54.49699707329273, 2
595, 54.588974699378014, 2
596, 54.680952325463295, 4
597, 54.772929951548576, 1
598, 54.86490757763386, 3
599, 54.95688520371914, 0
600, 55.04886282980442, 7
601, 55.1408404558897, 4
602, 55.23281808197498, 3
603, 55.324795708060265, 2
604, 55.416773334145546, 3
605, 55.50875096023083, 5
606, 55.60072858631611, 2
607, 55.69270621240139, 3
608, 55.78468383848667, 4
609, 55.87666146457195, 1
610, 55.968639090657234, 5
611, 56.060616716742516, 2
612, 56.1525943428278, 7
613, 56.24457196891308, 2
614, 56.33654959499836, 5
615, 56.42852722108364, 2
616, 56.52050484716892, 2
617, 56.612482473254204, 2
618, 56.704460099339485, 0
619, 56.79643772542477, 1
620, 56.88841535151005, 3
621, 56.98039297759533, 6
622, 57.07237060368061, 1
623, 57.16434822976589, 2
624, 57.25632585585117, 5
625, 57.348303481936455, 3
626, 57.440281108021736, 6
627, 57.53225873410702, 4
628, 57.6242363601923, 2
629, 57.71621398627758, 6
630, 57.80819161236286, 6
631, 57.90016923844814, 4
632, 57.992146864533424, 5
633, 58.084124490618706, 3
634, 58.17610211670399, 6
635, 58.26807974278927, 4
636, 58.36005736887455, 4
637, 58.45203499495983, 3
638, 58.54401262104511, 4
639, 58.635990247130394, 4
640, 58.727967873215675, 2
641, 58.81994549930096, 2
642, 58.91192312538624, 3
